product_name,primary_category,sugars_100g,proteins_100g,fat_100g,fiber_100g,nutriscore_grade
Amandes blanches entières,Nuts & Seeds,4.0,20.0,52.0,,unknown
Figues entières sèches,Fruit Snacks,12.0,1.0,2.0,,unknown
Graines de citrouille écalées crues,Nuts & Seeds,1.0,30.0,49.0,6.0,a
Graines de tournesol écalées crues,Nuts & Seeds,2.6,21.0,60.0,,unknown
Graines de tournesol écalées rôties et salées,Nuts & Seeds,6.6667,23.3333,60.0,,c
Graines de citrouille en écale,Nuts & Seeds,0.0,30.0,50.0,,unknown
Noix de grenoble écalées crues,Nuts & Seeds,2.6,14.0,64.0,,unknown
Noix de Grenoble Demies,Nuts & Seeds,2.6,14.0,64.0,6.8,a
Noix de grenoble en moreceaux,Nuts & Seeds,2.6,14.0,65.0,,unknown
Noix de grenoble naturelles en écale,Nuts & Seeds,2.3333,14.3333,60.0,,unknown
Raisins Sultana,Fruit Snacks,58.0,3.2,1.6,,unknown
Noix de Brésil,Nuts & Seeds,0.0,14.2,67.0,,unknown
Amandes en cubes,Nuts & Seeds,4.8000001907348,21.0,52.0,,unknown
Noix de grenoble petits morceaux,Nuts & Seeds,2.6,15.2,65.2,,unknown
Graines de citrouille écalées rôties salées,Nuts & Seeds,0.0,30.0,46.666666666667,,d
Graines de citrouille écalées rôties non salées,Nuts & Seeds,0.0,0.0,46.666666666667,,c
Arachides blanches rôties et salées,Nuts & Seeds,4.0,26.0,50.0,,c
Pistaches rôties salées,Nuts & Seeds,7.5999999046326,20.0,45.20000076294,,unknown
Mini bretzels en coeur,Chips & Savoury Snacks,0.0,10.0,3.3333333333333,,d
Arachides au miel,Nuts & Seeds,44.0,14.0,22.0,,d
sweet popcorn,Candy & Chocolate,25.6,5.8,23.8,7.7,c
Feinherb Nuss Schokolade,Candy & Chocolate,34.5,8.0,41.1,,e
Biscuits au Choco nussa,Candy & Chocolate,32.599998474121,6.6999998092651,21.5,,e
Nocciola Piemonte IGP,Nuts & Seeds,4.2,13.0,60.0,9.4,a
4 HOT CROSS BUNS,Candy & Chocolate,18.6,3.0,7.5,7.5,c
Porridge de Riz,Cereals & Granola,0.6,7.0,1.6,3.6,b
Shortbread All Butter Fingers,Candy & Chocolate,14.8,6.2,28.3,4.012,e
Miel de Romarin,Spreads & Dips,79.8,0.56,0.0,0.0,e
Melange Rando,Fruit Snacks,23.48,6.960000038147,11.970000267029,9.89,a
Tarantula,Candy & Chocolate,54.0,5.3,0.2,,e
Pétales de maïs,Cereals & Granola,5.5,7.3,1.0,,c
Cocottes cereales,Candy & Chocolate,23.0,8.4,26.0,,e
Gâche,Candy & Chocolate,13.0,7.7,14.0,,e
Popcorn salés,Chips & Savoury Snacks,0.0,8.9,16.9,,d
Ktipiti,Spreads & Dips,4.1,2.6,11.2,,d
